transaction_id,customer_id,timestamp,amount,category,type
8570b59f-a903-4e67-bc56-8b5324acb722,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-11 11:39:24,4152.56,Salary,Credit
46707cd6-4ced-4164-a9df-14e9389641dd,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-23 11:39:24,115.56,Discretionary,Debit
97777f10-f2d2-493f-8e85-140d0f9aeb70,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-02 11:39:24,24.73,Discretionary,Debit
2cd58759-e95d-4761-bc36-dc59e134edfc,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-21 11:39:24,128.72,Discretionary,Debit
8e4c3ab5-6d5d-4477-adc2-9178a0411612,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-13 11:39:24,138.1,Discretionary,Debit
582b91ee-f8e8-435b-8c00-988a7ee1011a,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-06 11:39:24,114.77,Discretionary,Debit
61935990-abdd-4a8f-a4b0-5c89f10bce9c,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-19 11:39:24,59.47,Discretionary,Debit
b2414482-5198-44d8-8643-3603c92a7d7c,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-03 11:39:24,106.13,Discretionary,Debit
4cc57e0d-2633-4018-a883-ac6e6a944054,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2025-12-17 11:39:24,210.92,Utility,Debit
89b5aab0-c121-49db-af12-b150605fb1eb,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-09 11:39:24,4152.56,Salary,Credit
39b02e2a-d96e-484f-bdb0-174e7938878a,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-04 11:39:24,62.1,Discretionary,Debit
24f43c62-b523-40de-9b87-d29c4cfd0fc1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-06 11:39:24,100.84,Discretionary,Debit
0ec0713d-ea2c-4a51-b688-d11fce4758be,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-24 11:39:24,41.44,Discretionary,Debit
6aa0426d-f7c0-45f7-a9a5-3b4f8ff8869d,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-28 11:39:24,35.08,Discretionary,Debit
636f6e5c-2253-4706-87ad-8b268eaa5841,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-23 11:39:24,92.05,Discretionary,Debit
548c1d84-340d-4049-8147-65063e2bf9c9,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-02 11:39:24,31.99,Discretionary,Debit
73253aa3-ec17-4298-943d-f5b3a58e83dd,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-22 11:39:24,68.55,Discretionary,Debit
891f6912-17ab-4863-9efe-ef4fd8ddbbc0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-13 11:39:24,55.71,Discretionary,Debit
0d31812e-30c3-4756-9453-f867b97e6224,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-01-18 11:39:24,130.99,Utility,Debit
9adf4709-ac75-4344-a08e-149e44b9e602,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-09 11:39:24,4152.56,Salary,Credit
12a1fe7d-dfa5-4722-8a1f-c9df9a591974,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-03-03 11:39:24,29.35,Discretionary,Debit
966be275-c2fe-4954-8dfd-9531302b7831,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-19 11:39:24,60.62,Discretionary,Debit
378e6510-8f10-433e-abe4-2e7db96c1163,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-18 11:39:24,26.43,Discretionary,Debit
e8334da5-de95-4695-b579-c1437ab99428,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-21 11:39:24,92.89,Discretionary,Debit
e8b3d763-f4ff-4f3a-8d9d-baeb553d2625,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-03-03 11:39:24,72.13,Discretionary,Debit
30a5648e-efe9-43d0-b639-08bf03ece8ff,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-26 11:39:24,141.48,Discretionary,Debit
bf337a15-1e08-4f20-bdd1-51b0f64ab6ec,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-18 11:39:24,70.96,Discretionary,Debit
ea18d32c-7a9a-4ef5-811b-d1c4ffe3f366,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-12 11:39:24,40.35,Discretionary,Debit
b42a2d93-9aba-4f15-b214-90623e1a963e,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-22 11:39:24,68.21,Discretionary,Debit
3d44cb2c-ea45-4a41-a589-ada1345af934,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-19 11:39:24,115.91,Discretionary,Debit
48769153-c688-43fe-9255-5c758d55119e,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-28 11:39:24,29.38,Discretionary,Debit
a6129a1c-889d-4b76-b75c-30b561730c48,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-15 11:39:24,60.4,Discretionary,Debit
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2026-02-18 11:39:24,222.67,Utility,Debit
774c0afa-7f4d-408c-a1ff-f6c08347f1da,23b8c1e9-3924-46de-beb1-3b9046685257,2025-12-10 11:39:24,5742.91,Salary,Credit
b8f0188e-fb37-4fae-8d85-63ca193e638d,23b8c1e9-3924-46de-beb1-3b9046685257,2025-12-28 11:39:24,65.83,Discretionary,Debit
